countrynum,statenum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,LandTypeID,RouteTypeID,RouteTypeDetailId,RtCode,area.buff,area.PA.TOT,prop.PA.TOT,area.PA.I.IV,prop.PA.I.IV,Alt_mean,mainoccG,sp_richness.NONNAT,abundance.NONNAT,sp_richness,abundance,hf00,hf05,hf10,hf13,hf09,npp,Alt_mean2
124,11,1,CHEMAINUS,0,48.78529,-123.59913,94,5,0,1,1,11_1,9157215.199,0,0,0,0,113.8333333,For,28,246,27,245,22,21,20,20,10.8460205,3.972933114,12958.02778
124,11,126,CAMPBELL LAKE,1,50.02638,-125.24111,94,5,0,1,1,11_126,15052507.55,354081.0677,0.023523062,354081.0677,0.023523062,42.55555556,For,20,225,19,218,36,35,34,33,26.85409832,3.534018159,1810.975309
124,11,136,ATLIN ROAD,1,60.00029,-133.79492,68,4,0,1,1,11_136,4404257.534,1381444.513,0.313661157,1381444.513,0.313661157,773.8888889,For,21,207,21,207,8,8,8,8,5.142857143,1.187807575,598904.0123
124,11,137,PENNINGTON,1,60.00179,-134.66026,68,4,0,1,1,11_137,4519044.213,0,0,0,0,744.5833333,For,25,178,25,178,8,8,8,8,6.4,0.66000247,554404.3403
124,11,167,Ormond Lake,1,54.08715,-124.83168,68,10,0,1,1,11_167,14942217.81,0,0,0,0,682.483871,For,39,342,39,342,13.5,16.5,16.5,17.5,9.301237098,2.021961093,465784.2341
124,11,198,MASSETT,1,54.03085,-132.05651,94,5,0,1,1,11_198,4705648.177,0,0,0,0,14.22222222,For,16,335,16,335,12,13,12,12,10.42433703,3.059116721,202.2716049
124,11,20,SALMON ARM,1,50.67375,-119.32095,64,9,0,1,1,11_20,5096050.972,0,0,0,0,390.9,Herb,32,279,29,243,32,31,31,31,32.00000992,2.357837081,152802.81
124,11,204,WASA,0,49.64847,-115.64972,64,10,0,1,1,11_204,4342281.472,0,0,0,0,810.125,For,28,229,28,229,11,11,11,11,17.56483323,1.922613263,656302.5156
124,11,208,SUMMERLAND,1,49.59762,-119.72963,64,9,0,1,1,11_208,5666569.957,0,0,0,0,690.1111111,Herb,42,260,42,260,14.5,12.5,12.5,12.5,17.89367146,1.986589551,476253.3457
124,11,212,POINT GREY,1,49.26269,-123.25848,94,5,0,1,1,11_212,5930523.631,0,0,0,0,22.72727273,Water,18,195,18,195,42,42,42,42,37,3.035433054,516.5289256
124,11,220,LAVINGTON,1,50.26615,-119.08702,64,9,0,1,1,11_220,5148344.646,0,0,0,0,683.7777778,For,42,360,40,356,28,21,16,18,17.00207543,2.371062994,467552.0494
124,11,222,PAVILION,1,50.88093,-121.82873,63,9,0,1,1,11_222,4530433.791,0,0,0,0,888.5,Mosaic,28,271,27,254,8,8,9,9,9.705440998,1.737450759,789432.25
124,11,223,PEMBERTON,0,50.14379,-122.95793,68,5,0,1,1,11_223,5910997.642,0,0,0,0,695.6666667,For,27,248,27,248,33,32.5,27,32,26.6,1.135211587,483952.1111
124,11,233,CHU CHUA,1,51.31666,-120.14999,64,9,0,1,1,11_233,4489056.31,0,0,0,0,734.25,For,28,249,28,249,18.5,19,19,19.5,14.02452612,2.025344431,539123.0625
124,11,234,LAC LA HACHE,1,51.97885,-121.46523,63,10,0,1,1,11_234,4733154.819,0,0,0,0,1226.545455,For,34,212,34,212,8,8,8,8,1.107145923,1.858021617,1504413.752
124,11,235,RISKE CREEK,1,51.95592,-122.40933,63,10,0,1,1,11_235,4546559.615,0,0,0,0,961.75,For,35,298,35,298,8,8,8,8,8.01253393,1.722687006,924963.0625
124,11,236,FLETCHER LAKE,1,51.79483,-123.07011,63,10,0,1,1,11_236,4441511.447,0,0,0,0,1182.4,Herb,32,259,32,259,8,8,8,8,0.062577597,1.723302126,1398069.76
124,11,244,HORSEFLY,1,52.47331,-121.38518,63,10,0,1,1,11_244,5360225.239,42193.7871,0.007871644,42193.7871,0.007871644,735.3333333,For,32,167,32,167,9,9,9,9,1.314882457,2.300012231,540715.1111
124,11,255,PRINCE GEORG,1,53.9421,-122.8157,63,10,0,1,1,11_255,6358930.177,0,0,0,0,585.6153846,Urban,21,211,20,206,38,39,39,39,38.06640498,2.329539776,342945.3787
124,11,265,SUMMIT LAKE,1,54.34294,-122.6524,63,10,0,1,1,11_265,4620624.596,0,0,0,0,730.3,For,33,397,33,397,14,14,14,14,13.7780331,2.278174162,533338.09
124,11,270,TELKWA HI RD,1,55.00224,-127.31883,68,10,0,1,1,11_270,4768256.682,0,0,0,0,539.5454545,For,38,356,38,356,11,11,11,11,4.354077384,1.800401886,291109.2975
124,11,29,GOLDEN,1,51.32189,-116.98707,64,10,0,1,1,11_29,5715326.979,0,0,0,0,895.7,For,23,134,23,134,43,43,43,43,42.51369349,1.044475883,802278.49
124,11,3,BORDER ROAD,1,49.29379,-114.73244,64,10,0,1,1,11_3,4689129.783,0,0,0,0,1814.111111,For,23,289,23,289,8,8,8,8,0,1.251168847,3290999.123
124,11,300,Skidegate Lake,1,53.20804,-131.79334,94,5,0,1,1,11_300,8624675.477,355924.7179,0.041268187,355924.7179,0.041268187,14.5,For,16,396,16,396,8,12,12,12,4.023097754,3.482037306,210.25
124,11,309,UPPER ASHNOLA,1,49.03906,-120.38993,67,9,0,1,1,11_309,10884540.68,0,0,0,0,1717.35,For,18,181,18,181,8,8,8,8,1.703125224,1.179502964,2949291.023
124,11,313,DUCK LAKE,1,49.78313,-124.17869,94,5,0,1,1,11_313,4446417.023,279358.8325,0.062827852,279358.8325,0.062827852,176.375,For,24,320,23,319,8,8,8,8,5.274119854,3.134473443,31108.14063
124,11,33,BRIDGE LAKE,0,51.38704,-120.71029,63,10,0,1,1,11_33,4619624.992,0,0,0,0,1175.666667,For,26,169,25,167,8,8,8,8,0.25668484,1.775744349,1382192.111
124,11,332,CORMIER CREEK,1,59.96444,-129.06944,68,4,0,1,1,11_332,4936565.765,0,0,0,0,723.5454545,For,13,150,13,150,8,8,8,8,7.111111111,1.758058548,523518.0248
124,11,339,HAINES SUMMIT,1,59.78907,-136.59568,68,4,0,1,1,11_339,4402029.055,2078489.923,0.472166334,1990763.909,0.452237794,916.6,Shrub,19,224,19,224,4,4,4,4,6.4,0.202632874,840155.56
124,11,34,MEADOWLAKE,1,51.41319,-121.97944,63,10,0,1,1,11_34,4619422.078,0,0,0,0,1083.555556,Herb,30,277,30,277,8,8,8,8,0,1.77436024,1174092.642
124,11,4,TOKAY,1,49.46161,-115.51624,64,10,0,1,1,11_4,5008295.548,0,0,0,0,863.2,For,44,286,43,284,11,11,11,11,2.58448265,2.166215539,745114.24
124,11,401,SALT SPR. IS,1,48.74932,-123.54811,94,5,0,1,1,11_401,8229076.746,0,0,0,0,283.2,For,28,258,28,258,13,13,13,13,7.179381657,3.974163294,80202.24
124,11,402,COWICHAN LK.,1,48.82305,-124.05783,94,5,0,1,1,11_402,5231971.822,0,0,0,0,200.2,For,32,350,31,346,13,17.5,17,14.5,18.85714286,3.542630434,40080.04
124,11,407,CHRISTIAN VL,1,49.70977,-118.77692,64,9,0,1,1,11_407,4743997.363,0,0,0,0,877.3333333,For,26,189,26,189,8,8,8,8,0,1.672244072,769713.7778
124,11,408,OLIVER,1,49.10741,-119.27952,64,9,0,1,1,11_408,4676266.239,0,0,0,0,1295.5,For,24,270,24,270,8,8,8,8,1.679189103,1.962906003,1678320.25
124,11,410,CHILLIWACK LAKE,1,49.02589,-121.38798,67,9,0,1,1,11_410,4821227.763,2902308.083,0.601985267,2902308.083,0.601985267,711.7142857,For,15,130,15,130,8,8,8,8,2,1.169660449,506537.2245
124,11,411,Maple Ridge,1,49.18402,-122.53478,94,5,0,1,1,11_411,10688777.8,0,0,0,0,21,Herb,25,341,25,341,37,37,37,37,39.01162064,3.183070898,441
124,11,413,NANAIMO RIV,1,49.19418,-124.09906,94,5,0,1,1,11_413,5682480.745,0,0,0,0,208.3,For,29,311,29,311,31,31,32,31,21.33614021,3.412114461,43388.89
124,11,419,CREIGHTON V,1,50.21164,-118.77176,64,9,0,1,1,11_419,4587266.302,460804.7705,0.100453024,460804.7705,0.100453024,949.875,For,40,360,40,360,8.5,8.5,8.5,8.5,1.338351284,2.465797186,902262.5156
124,11,420,CANOE POINT,1,50.81583,-119.08629,64,9,0,1,1,11_420,4485432.892,0,0,0,0,471.5714286,For,34,243,33,242,8.5,8.5,8.5,8.5,5.579000026,2.453801632,222379.6122
124,11,422,HAT CREEK,1,50.78927,-121.61208,64,9,0,1,1,11_422,11341769.2,0,0,0,0,906.3181818,For,34,156,34,156,8,8,8,8,6.129871855,1.799735516,821412.6467
124,11,423,DUFFEY LAKE,1,50.43183,-122.25638,68,9,0,1,1,11_423,4749678.117,2269818.086,0.477888823,2269818.086,0.477888823,1254.555556,For,24,137,24,137,8,8,8,8,5.714285714,0.639394671,1573909.642
124,11,426,QUADRA IS.,1,50.02276,-125.16041,94,5,0,1,1,11_426,10815490.74,0,0,0,0,42.22222222,For,31,238,30,237,19,19,18,19,8.997034836,3.534018159,1782.716049
124,11,45,WILLIAMS LK,1,52.14952,-122.06768,63,10,0,1,1,11_45,5204440.888,0,0,0,0,868.6666667,For,34,291,34,291,31,31,25.5,31,24.1562233,2.344918847,754581.7778
124,11,53,MCBRIDE,1,53.27895,-120.0785,64,10,0,1,1,11_53,4389513.25,0,0,0,0,826.875,Herb,35,309,35,309,14,13,13,14,9.59102571,1.162278573,683722.2656
124,11,57,KENNEY DAM,1,53.59811,-124.90146,63,10,0,1,1,11_57,6415977.006,0,0,0,0,920.6153846,For,34,302,34,302,8,8,8,8,0.538692835,1.849870831,847532.6864
124,11,58,DUNSTER,1,53.08394,-119.67144,64,10,0,1,1,11_58,10310427.47,0,0,0,0,917.0454545,For,30,230,30,230,9,9,9,9,10.11127607,1.091535429,840972.3657
124,11,6,SALMO,1,49.14681,-117.25726,64,10,0,1,1,11_6,4354003.858,0,0,0,0,721.6,For,33,249,33,249,16,12,10.5,11,7.814774036,1.958292365,520706.56
124,11,608,PARK RILL,1,49.25746,-119.5261,64,9,0,1,1,11_608,7066335.081,376900.7859,0.05333752,376900.7859,0.05333752,375.5384615,Herb,47,565,44,542,24.5,22,21.5,23.5,16,2.0062747,141029.1361
124,11,609,BROMLEY,1,49.40133,-120.22432,64,9,0,1,1,11_609,5388233.083,1155955.893,0.214533387,1155955.893,0.214533387,660.7,For,17,180,17,180,8,8,8,8,8.5,1.996739686,436524.49
124,11,612,SQUAMISH RIVER,1,49.68665,-123.17833,68,5,0,1,1,11_612,13099197.69,3038025.287,0.231924531,3038025.287,0.231924531,139.1304348,For,29,341,29,341,28,25,26,23,33.54812855,2.057947874,19357.27788
124,11,614,Mt. Washington,1,49.64242,-125.09807,94,5,0,1,1,11_614,9318835.917,372262.2617,0.039947292,372262.2617,0.039947292,252.5625,For,21,171,21,171,8,8,8,8,5.353938039,3.390994191,63787.81641
124,11,69,MT MORICE,1,54.36058,-126.79256,68,10,0,1,1,11_69,4841001.428,0,0,0,0,821.5,For,28,300,28,300,9,9,9,9,1.031370262,1.963828743,674862.25
124,11,709,OSPREY LAKE,1,49.72025,-120.14918,64,9,0,1,1,11_709,4946054.054,0,0,0,0,1171.222222,For,30,171,30,171,16,16,16,16,8,1.873400569,1371761.494
124,11,71,LAKELSE,1,54.37166,-128.58215,94,5,0,1,1,11_71,5714366.494,0,0,0,0,150.9230769,For,29,217,29,217,10,10,10,10,4.544635963,1.830185801,22777.77515
124,11,72,KWINITSA,1,54.33308,-129.29622,94,5,0,1,1,11_72,4487876.901,1155222.575,0.257409595,1155222.575,0.257409595,75.11111111,Water,29,225,29,225,17,17,17,17,16,0.95343256,5641.679012
124,11,721,LOWER NICOLA,1,50.13425,-120.9503,64,9,0,1,1,11_721,5073564.056,0,0,0,0,597.9,Herb,26,198,26,198,17.5,17,17,17,14.5,1.824187994,357484.41
124,11,74,TUPPER,1,55.45441,-120.15842,30,6,0,1,1,11_74,4372280.49,0,0,0,0,798.3333333,Mosaic,38,344,38,344,9,9,9,10,3.342539188,2.042261362,637336.1111
124,11,75,WILLISTON LK,1,55.45083,-123.20833,63,10,0,1,1,11_75,4543465.663,18297.8681,0.004027293,18297.8681,0.004027293,858.6666667,For,29,238,29,238,6,6,6,6,0.259850413,1.659325838,737308.4444
124,11,81,KISPIOX,0,55.15831,-127.8863,68,5,0,1,1,11_81,4670480.85,0,0,0,0,400,For,25,340,25,340,8,8,8,8,0.313687027,1.912770748,160000
124,11,85,HUDSON HOPE,1,56.03028,-121.90827,29,6,0,1,1,11_85,4429506.01,0,0,0,0,497.3,For,35,258,33,244,23,24,25,25,17.59617678,2.433501482,247307.29
124,11,9,PRINCETON,1,49.15319,-120.59727,67,9,0,1,1,11_9,5088046.998,0,0,0,0,1138.444444,For,21,198,21,198,8,8,8,8,6.857142857,1.759904027,1296055.753
124,11,900,SYRINGA CR,1,49.37134,-117.94334,64,10,0,1,3,11_900,4620585.026,2616624.381,0.566297204,2616624.381,0.566297204,587.125,For,30,249,30,249,8,8,8,8,5.148216043,2.169291377,344715.7656
124,11,93,MEZIADIN,1,56.10483,-129.28439,68,5,0,1,1,11_93,4770935.524,1380524.299,0.289361341,1380524.299,0.289361341,347.1111111,For,23,374,23,374,8,8,8,8,8,1.22687006,120486.1235
840,14,1,HORSE CREEK,1,41.8223332,-123.0047055,93,5,0,1,1,14_1,5266745.422,1819889.035,0.345543384,0,0,588.1666667,For,46,613,44,608,12,12,12,12,10.33794158,3.604043643,345940.0278
840,14,104,TUJUNGA,1,34.2581397,-118.1049598,95,32,0,1,1,14_104,5029279.088,0,0,0,0,1522.333333,For,30,110,30,110,15,12,13,11,11.2,2.288631797,2317498.778
840,14,106,MESA GRANDE,1,33.1990869,-116.7862853,90,32,0,1,1,14_106,5733902.119,814998.3752,0.142136778,0,0,1058.428571,For,38,413,38,413,9,9,9,9,3.409148653,1.822034955,1120271.041
840,14,108,CARMEL VAL,1,36.4530827,-121.6956939,92,32,0,1,1,14_108,6146908.526,0,0,0,0,322.1111111,For,33,347,32,346,11,11,11,11,4.312520266,4.179318428,103755.5679
840,14,11,HULLVILLE,1,39.5232837,-122.9409709,92,5,0,1,1,14_11,4887252.688,0,0,0,0,1688.8,Shrub,21,195,21,195,8,8,8,8,1,3.113558054,2852045.44
840,14,112,PEARBLOSSOM,1,34.5208799,-117.9406162,90,33,0,1,1,14_112,4913322.569,0,0,0,0,934.6,Shrub,14,83,13,81,17.5,15.5,16,15.5,13.76692247,0.670767695,873477.16
840,14,118,LOCKWOOD VAL,1,34.7383427,-119.0450209,95,32,0,1,1,14_118,7015606.104,0,0,0,0,1567.888889,Shrub,30,302,29,296,10,10,10,10,0,1.380044341,2458275.568
840,14,127,SANGER,1,36.6992615,-119.5118359,91,32,0,1,1,14_127,4896337.141,0,0,0,0,111.2857143,Herb,22,262,21,248,25,23,23.5,23,13.59138266,1.697260499,12384.5102
840,14,128,KELSO VALLEY,1,35.5494581,-118.2071003,92,33,0,1,1,14_128,8542976.984,4933368.255,0.577476477,320348.2313,0.037498431,1062.75,Shrub,23,358,19,280,11,11,11,11,4.363663977,0.654158443,1129437.563
840,14,13,WESTVILLE,1,39.1239687,-120.7596199,66,15,0,1,1,14_13,9947433.365,0,0,0,0,1265.823529,For,30,273,30,273,8,8,8,8,2.259462962,3.857283592,1602309.208
840,14,137,JACUMBA,1,32.6119997,-116.2002339,90,32,0,1,1,14_137,4636963.331,0,0,0,0,990.25,For,26,260,24,246,14,14,14,14,11.67321854,0.555118114,980595.0625
840,14,138,CRESTON,1,35.3183817,-120.5084609,92,32,0,1,1,14_138,4405354.819,0,0,0,0,393.6,Herb,19,126,19,126,16,16,16,16,4.832439797,3.051427126,154920.96
840,14,14,FISH ROCK,1,38.8035918,-123.5854569,93,5,0,1,1,14_14,7981715.156,46161.59363,0.005783418,0,0,269.75,For,28,210,28,210,14,13.5,13.5,13.5,4.58087257,5.498831272,72765.0625
840,14,140,CARRIZO PLN,1,35.0931687,-119.7298739,91,32,0,1,1,14_140,4530076.681,0,0,0,0,658.5,Herb,15,211,15,211,10,10,10,10,4.833352606,0.943897635,433622.25
840,14,142,MT PINOS 2,1,34.8339402,-119.3299456,95,32,0,1,1,14_142,4559492.534,29472.411,0.006463967,29472.411,0.006463967,1314.571429,Shrub,15,108,15,108,9,9,9,9,1.208380997,1.436946332,1728098.041
840,14,151,LIKELY,1,41.2351468,-120.3368295,85,9,0,1,1,14_151,4861930.994,0,0,0,0,1580.625,For,32,379,32,379,9,9,9,9,0.250227226,1.605807066,2498375.391
840,14,153,GOLD HILL,1,38.7687607,-120.9253159,92,32,0,1,1,14_153,4622349.695,0,0,0,0,370.7,Shrub,40,402,37,396,19,18,19,19,9.48061657,3.12155509,137418.49
