"X_id","Source_ID","Study_number","Site_number","SS","SSB","SSBS","SSS","Country","Longitd","Latitud","Diversity_metric_type","Predominant_habitat","LU_3","UseIntensity","Sample_start_earliest","Realm","Zone","taxon_of_interest","Total_abundance","log_abundance","Species_richness","Richness_rarefied","CWM_Geographic_range_log10_square_km","range","PropWithData_Geographic_range_log10_square_km","Within_PA","PA","LUPA","IUCN_CAT","IUCN_CAT_number","GIS_AREA","STATUS_YR","DoP","log_AREA_PA","AREA_DoP","elevation","slope","ag_suit","log_slope","log_elevation","multiple_taxa","matched_landuse","hf00","hf05","hf10","hf13","hf09","npp"
1,"AD1_2005__Hanley",1,1,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 1","AD1_2005__Hanley 1 1 Invertebrates","United Kingdom",-1.4275,50.964167,"Abundance","Cropland","Human_dominated","Intense use","01/05/2004","Palearctic","Temperate","Invertebrates",146,4.990432587,5,5,6.347943803,6.347943803,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",77,0.883413,3,0.633085556,4.356708827,"yes","yes",34,34,34,34,38.0002822875977,114.628570556641
2,"AD1_2005__Hanley",1,2,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 2","AD1_2005__Hanley 1 2 Invertebrates","United Kingdom",-1.490059,50.84341,"Abundance","Cropland","Human_dominated","Intense use","01/05/2004","Palearctic","Temperate","Invertebrates",55,4.025351691,6,6,6.322754186,6.322754186,1,"yes","IN","IN Cropland",4.5,4.5,566.30275,1993,11,6.340893112,"large_young",19,0.123704,2,0.116630372,2.995732274,"yes","yes",17,17,17,16,19.0087070465088,125.957141876221
3,"AD1_2005__Hanley",1,3,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 3","AD1_2005__Hanley 1 3 Invertebrates","United Kingdom",-1.708976,51.268592,"Abundance","Cropland","Human_dominated","Intense use","01/05/2004","Palearctic","Temperate","Invertebrates",149,5.010635294,9,6,6.28833822,6.28833822,1,"yes","IN","IN Cropland",4.5,4.5,214.260785,1993,11,5.371850246,"small_young",149.5,0.378618,7,0.321081548,5.013963084,"yes","yes",19,17,21,19,16,105.84285736084
4,"AD1_2005__Hanley",1,4,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 4","AD1_2005__Hanley 1 4 Invertebrates","United Kingdom",-1.4275,50.964167,"Abundance","Cropland","Human_dominated","Intense use","01/05/2005","Palearctic","Temperate","Invertebrates",88,4.48863637,7,7,6.359065962,6.359065962,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",77,0.883413,3,0.633085556,4.356708827,"yes","yes",34,34,34,34,38.0002822875977,114.628570556641
5,"AD1_2005__Hanley",1,5,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 5","AD1_2005__Hanley 1 5 Invertebrates","United Kingdom",-1.490059,50.84341,"Abundance","Cropland","Human_dominated","Intense use","01/05/2005","Palearctic","Temperate","Invertebrates",77,4.356708827,6,6,6.478182251,6.478182251,1,"yes","IN","IN Cropland",4.5,4.5,566.30275,1993,12,6.340893112,"large_young",19,0.123704,2,0.116630372,2.995732274,"yes","yes",17,17,17,16,19.0087070465088,125.957141876221
6,"AD1_2005__Hanley",1,6,"AD1_2005__Hanley 1 Invertebrates","AD1_2005__Hanley 1 Invertebrates NA","AD1_2005__Hanley 1 Invertebrates NA 6","AD1_2005__Hanley 1 6 Invertebrates","United Kingdom",-1.708976,51.268592,"Abundance","Cropland","Human_dominated","Intense use","01/05/2005","Palearctic","Temperate","Invertebrates",139,4.941642423,7,7,6.295946405,6.295946405,1,"yes","IN","IN Cropland",4.5,4.5,214.260785,1993,12,5.371850246,"small_young",149.5,0.378618,7,0.321081548,5.013963084,"yes","yes",19,17,21,19,16,105.84285736084
7,"AD1_2006__Diekoetter",1,10,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 10","AD1_2006__Diekoetter 1 10 Invertebrates","Germany",8.881882247,50.82110139,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",192.5,0.146455,8,0.136674573,5.265277512,"yes","yes",23.5,23.5,34,22.5,27,107.714286804199
8,"AD1_2006__Diekoetter",1,100,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 100","AD1_2006__Diekoetter 1 100 Invertebrates","Germany",8.910375245,50.76269658,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",225.5,1.91286,8,1.069135416,5.422744945,"yes","yes",27,27,28,25,17.6814861297607,108.82857131958
9,"AD1_2006__Diekoetter",1,101,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 101","AD1_2006__Diekoetter 1 101 Invertebrates","Germany",8.931628721,50.7672055,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.043253035,6.043253035,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",211,1.20938,8,0.792711933,5.356586275,"yes","yes",26,26,28,25,18.3394660949707,108.65714263916
10,"AD1_2006__Diekoetter",1,102,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 102","AD1_2006__Diekoetter 1 102 Invertebrates","Germany",8.938716059,50.7672094,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",202,0.649339,8,0.500374602,5.313205979,"yes","yes",26.5,26.5,28,25,19.1788854598999,108.65714263916
11,"AD1_2006__Diekoetter",1,103,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 103","AD1_2006__Diekoetter 1 103 Invertebrates","Germany",8.931635212,50.76271087,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",211,1.20938,8,0.792711933,5.356586275,"yes","yes",26,26,28,25,17.8524971008301,108.65714263916
12,"AD1_2006__Diekoetter",1,104,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 104","AD1_2006__Diekoetter 1 104 Invertebrates","Germany",8.938721872,50.76271477,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",202,0.649339,8,0.500374602,5.313205979,"yes","yes",26.5,26.5,28,25,18.4845066070557,108.65714263916
13,"AD1_2006__Diekoetter",1,105,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 105","AD1_2006__Diekoetter 1 105 Invertebrates","Germany",8.860782015,50.75815354,"Abundance","Urban","Human_dominated","Light use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Urban",0,NA,0,NA,NA,0,"outside",264,1.76925,5,1.018576525,5.579729826,"yes","no",28,28,28,27,12.2682647705078,109
14,"AD1_2006__Diekoetter",1,106,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 106","AD1_2006__Diekoetter 1 106 Invertebrates","Germany",8.867867972,50.75816175,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",263,1.987419,5,1.094409804,5.575949103,"yes","yes",28,28,28,27,12.2682647705078,109
15,"AD1_2006__Diekoetter",1,109,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 109","AD1_2006__Diekoetter 1 109 Invertebrates","Germany",8.889125859,50.75818378,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",2,1.098612289,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",273,3.56216,8,1.517796196,5.613128106,"yes","yes",27,27,28,26,12.2682647705078,108.82857131958
16,"AD1_2006__Diekoetter",1,11,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 11","AD1_2006__Diekoetter 1 11 Invertebrates","Germany",8.874798726,50.81659945,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",195,0.515132,5,0.415502564,5.278114659,"yes","yes",25.5,25,30,24,19.8524971008301,107.714286804199
17,"AD1_2006__Diekoetter",1,110,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 110","AD1_2006__Diekoetter 1 110 Invertebrates","Germany",8.896211827,50.75819027,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",273,3.56216,8,1.517796196,5.613128106,"yes","yes",27,27,28,26,11.7653546333313,108.82857131958
18,"AD1_2006__Diekoetter",1,111,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 111","AD1_2006__Diekoetter 1 111 Invertebrates","Germany",8.88913642,50.75368915,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",273,3.56216,8,1.517796196,5.613128106,"yes","yes",27,27,28,26,11.2624444961548,108.82857131958
19,"AD1_2006__Diekoetter",1,117,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 117","AD1_2006__Diekoetter 1 117 Invertebrates","Germany",8.945813665,50.7582236,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",203.5,0.88191,8,0.632287219,5.320567975,"yes","yes",26,26,28,25,19.7282238006592,108.65714263916
20,"AD1_2006__Diekoetter",1,118,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 118","AD1_2006__Diekoetter 1 118 Invertebrates","Germany",8.952899649,50.75822664,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",203.5,0.88191,8,0.632287219,5.320567975,"yes","yes",28,27,29.5,27,23,108.65714263916
21,"AD1_2006__Diekoetter",1,119,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 119","AD1_2006__Diekoetter 1 119 Invertebrates","Germany",8.945818796,50.75372896,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",203.5,0.88191,8,0.632287219,5.320567975,"yes","yes",26.5,25.5,28,25,19.6295471191406,108.65714263916
22,"AD1_2006__Diekoetter",1,12,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 12","AD1_2006__Diekoetter 1 12 Invertebrates","Germany",8.881893527,50.81660681,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",195,0.515132,8,0.415502564,5.278114659,"yes","yes",23,23,34,22,21.3394660949707,107.714286804199
23,"AD1_2006__Diekoetter",1,120,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 120","AD1_2006__Diekoetter 1 120 Invertebrates","Germany",8.952904101,50.753732,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.043253035,6.043253035,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",203.5,0.88191,8,0.632287219,5.320567975,"yes","yes",31,30,32.5,30,22.5,108.65714263916
24,"AD1_2006__Diekoetter",1,122,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 122","AD1_2006__Diekoetter 1 122 Invertebrates","Germany",8.938739301,50.74923084,"Abundance","Urban","Human_dominated","Light use","01/06/2001","Palearctic","Temperate","Invertebrates",4,1.609437912,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Urban",0,NA,0,NA,NA,0,"outside",242,3.98827,8,1.607089156,5.493061443,"yes","no",26,25,28,24.5,14.3050022125244,108.65714263916
25,"AD1_2006__Diekoetter",1,13,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 13","AD1_2006__Diekoetter 1 13 Invertebrates","Germany",8.832246035,50.81205165,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",246,2.077239,5,1.124032766,5.509388337,"yes","yes",29,28,32,29,20.3394660949707,107.714286804199
26,"AD1_2006__Diekoetter",1,14,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 14","AD1_2006__Diekoetter 1 14 Invertebrates","Germany",8.839340134,50.81206159,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",228,1.470739,5,0.904517296,5.433722004,"yes","yes",29,27.5,31,28,19.8524971008301,107.714286804199
